Price,Close,High,Low,Open,Volume,Return,MA5,MA10,Target
Ticker,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,,,,
Date,,,,,,,,,
2026-02-19,847.5,869.0999755859375,844.0,862.5,987912,-0.01636487463494729,866.0799926757812,907.7299987792969,0
2026-02-20,835.4000244140625,846.4000244140625,830.7000122070312,844.5,1311329,-0.014277257328539794,860.8199951171875,895.4299987792969,0
2026-02-23,812.7000122070312,841.9000244140625,801.4000244140625,835.4000244140625,2364931,-0.027172625740527923,847.3,880.3,0
2026-02-24,760.5,809.2999877929688,758.0,809.0,3617378,-0.06423035735569005,823.5400024414063,858.9900024414062,1
2026-02-25,788.7000122070312,805.0,764.0,764.0999755859375,5094300,0.037080883901421835,808.960009765625,841.9200012207032,1
2026-02-26,793.7000122070312,809.0999755859375,788.0,794.0,1399625,0.006339545990380335,798.2000122070312,832.1400024414063,0
2026-02-27,771.0999755859375,808.4000244140625,768.0,800.0,2159691,-0.028474280299240706,785.3400024414062,823.0799987792968,0
2026-03-02,754.25,768.2999877929688,736.0,736.0,1681199,-0.021851868913798977,773.65,810.475,0
2026-03-04,736.1500244140625,753.25,725.25,745.0,1679348,-0.02399731599063637,768.7800048828125,796.1600036621094,0
2026-03-05,717.5,750.0,713.1500244140625,746.9000244140625,2330442,-0.025334542953940664,754.5400024414063,781.7500061035156,0
2026-03-06,698.5499877929688,742.4500122070312,695.4000244140625,717.5,2876869,-0.026411166839067968,735.5099975585938,766.8550048828125,0
2026-03-09,688.9000244140625,693.0,672.5,692.25,2067491,-0.01381427749987485,719.0700073242188,752.2050048828125,1
2026-03-10,693.25,703.4000244140625,684.3499755859375,696.9000244140625,1877386,0.006314378620667638,706.8700073242187,740.2600036621094,0
2026-03-11,682.75,708.75,680.2000122070312,696.7000122070312,1785604,-0.015146051208077882,696.1900024414062,732.4850036621094,0
2026-03-12,671.25,683.7000122070312,665.6500244140625,682.0,1341404,-0.016843647015745145,686.9400024414062,720.7400024414062,0
2026-03-13,660.1500244140625,671.0,652.9000244140625,670.2000122070312,2471617,-0.016536276478119172,679.260009765625,707.3850036621094,0
2026-03-16,631.9500122070312,664.0999755859375,629.2000122070312,660.0,3226454,-0.042717581101448965,667.8700073242187,693.4700073242187,1
2026-03-17,653.7000122070312,656.0999755859375,624.9000244140625,635.0,2692241,0.034417279183269534,659.960009765625,683.4150085449219,1
2026-03-18,688.25,698.8499755859375,654.0999755859375,658.0,4250732,0.05285297100778785,661.060009765625,678.6250061035156,0
2026-03-19,658.9000244140625,680.0,655.0,680.0,2473667,-0.042644352467762436,658.5900146484375,672.7650085449219,1
2026-03-20,660.9500122070312,679.7000122070312,658.0,671.0,1948255,0.0031112273744287045,658.7500122070312,669.0050109863281,0
2026-03-23,659.2999877929688,662.9000244140625,645.5499877929688,650.0,2233577,-0.002496443579073082,664.2200073242187,666.0450073242188,1
2026-03-24,665.0,681.7999877929688,644.4000244140625,680.0,1567450,0.008645551816423236,666.4800048828125,663.2200073242187,1
2026-03-25,673.5999755859375,684.7999877929688,665.25,671.75,1220977,0.012932294114191834,663.55,662.3050048828125,0
2026-03-27,660.0499877929688,682.0,658.0,673.5999755859375,1598377,-0.020115778331467715,663.7799926757813,661.1850036621094,0
2026-03-30,634.75,655.7999877929688,633.0,648.8499755859375,1656577,-0.03833041172770135,658.539990234375,658.6450012207031,1
2026-04-01,674.2999877929688,683.0999755859375,648.7999877929688,650.7000122070312,1880678,0.06230797604248717,661.539990234375,662.8799987792969,1
2026-04-02,696.7999877929688,698.9000244140625,652.0499877929688,654.2999877929688,1767842,0.03336793772404478,667.8999877929688,667.1899963378906,0
2026-04-06,694.8499755859375,704.4000244140625,684.3499755859375,696.7999877929688,1473246,-0.002798525030414667,672.1499877929688,667.8499938964844,1
2026-04-07,707.8499755859375,710.0,685.5,695.0499877929688,1906465,0.018709074558198813,681.7099853515625,672.7449890136719,1
2026-04-08,721.1500244140625,740.0,711.0999755859375,740.0,2595624,0.018789361145510552,698.989990234375,678.764990234375,0
2026-04-09,716.0499877929688,725.0,705.9500122070312,721.1500244140625,1769446,-0.007072088259634346,707.339990234375,684.439990234375,0
