Close,High,Low,Open,Volume,Return,MA5,MA10,Target
TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,
2573.699951171875,2647.5,2561.300048828125,2641.0,7798833,-0.038336545149777024,2661.799951171875,2708.5099853515626,1
2629.300048828125,2654.199951171875,2595.0,2596.0,3621285,0.02160317780281029,2648.67998046875,2680.4599853515624,1
2647.699951171875,2671.0,2635.0,2650.0,3464267,0.006998023048738977,2642.639990234375,2670.219970703125,0
2637.39990234375,2688.60009765625,2626.10009765625,2681.60009765625,5083717,-0.0038901873392286346,2632.87998046875,2664.7399658203126,0
2613.5,2623.800048828125,2580.300048828125,2592.0,3374385,-0.009061918263707835,2620.319970703125,2655.4299560546874,0
2587.800048828125,2635.0,2580.39990234375,2625.0,3446434,-0.009833537850344354,2623.139990234375,2642.469970703125,0
2578.800048828125,2609.5,2546.39990234375,2600.0,2960636,-0.0034778575740717077,2613.039990234375,2630.8599853515625,0
2557.60009765625,2619.199951171875,2553.60009765625,2572.0,3998643,-0.008220858837624467,2595.02001953125,2618.8300048828123,0
2527.39990234375,2560.0,2505.0,2530.0,3653428,-0.011808020863064206,2573.02001953125,2602.95,0
2513.10009765625,2545.199951171875,2490.10009765625,2541.0,4323710,-0.005657911387208392,2552.9400390625,2586.6300048828125,0
2464.89990234375,2521.0,2460.10009765625,2508.10009765625,2720664,-0.019179576395485398,2528.360009765625,2575.75,0
2442.39990234375,2472.89990234375,2436.0,2459.800048828125,2752075,-0.00912815971902381,2501.07998046875,2557.0599853515623,0
2410.5,2445.89990234375,2397.0,2437.0,2466488,-0.013060884220122415,2471.6599609375,2533.339990234375,0
2409.199951171875,2425.0,2366.10009765625,2410.0,3807907,-0.0005393274541070081,2448.019970703125,2510.5199951171876,0
2391.699951171875,2420.0,2360.0,2420.0,2993367,-0.007263822162825395,2423.73994140625,2488.339990234375,1
2440.800048828125,2482.89990234375,2410.0,2410.0,3082388,0.020529371852097134,2418.919970703125,2473.639990234375,0
2356.0,2424.0,2350.199951171875,2417.0,2757060,-0.03474272661901945,2401.639990234375,2451.3599853515625,1
2390.60009765625,2407.800048828125,2364.199951171875,2386.0,4206320,0.01468594976920623,2397.660009765625,2434.6599853515627,0
2383.800048828125,2406.800048828125,2348.0,2365.0,3860515,-0.0028444944994320265,2392.580029296875,2420.3,1
2398.800048828125,2435.39990234375,2379.10009765625,2404.10009765625,3420182,0.006292474071964982,2394.000048828125,2408.8699951171875,0
2377.39990234375,2421.60009765625,2369.800048828125,2400.89990234375,5843778,-0.008921188114378031,2381.32001953125,2400.1199951171875,1
2389.800048828125,2422.10009765625,2385.0,2403.89990234375,4979411,0.005215843776282814,2388.080029296875,2394.860009765625,0
2358.89990234375,2398.0,2346.199951171875,2375.10009765625,6804756,-0.012930013328741552,2381.739990234375,2389.7,1
2408.199951171875,2472.0,2397.89990234375,2429.0,4132661,0.02089959339908476,2386.619970703125,2389.6,1
2450.699951171875,2469.89990234375,2375.699951171875,2386.0,5378361,0.017648036235246467,2396.999951171875,2395.5,1
2473.89990234375,2482.0,2448.199951171875,2474.0,2572417,0.009466663252994723,2416.299951171875,2398.8099853515623,1
2539.800048828125,2543.89990234375,2448.0,2461.0,4516550,0.026638162046064062,2446.299951171875,2417.189990234375,1
2559.199951171875,2580.300048828125,2540.10009765625,2572.0,4769337,0.007638358126932587,2486.3599609375,2434.0499755859373,1
2589.0,2605.0,2531.10009765625,2554.0,5628261,0.01164428313406285,2522.519970703125,2454.569970703125,0
